condition_id,split,direction,source_path,row_count,finite_value_pass,theta_min_deg,theta_max_deg,median_absolute_angle_step_deg,p95_absolute_angle_step_deg,unwrapped_revolution_count,wrap_count,direction_speed_sign_pass,torque_sign_observation,mean_speed_rpm,speed_std_rpm,mean_torque_nm,torque_std_nm,mean_temperature_deg_c,temperature_std_deg_c,mean_te_deg,te_std_deg,te_peak_to_peak_deg,nominal_speed_error_rpm,nominal_torque_magnitude_error_nm,nominal_temperature_error_deg_c,operating_metadata_pass,operating_metadata_issue
speed_1300rpm__torque_1300Nm__temperature_35degC,validation,Bw,data/polished_dataset/backward/35degree/1300rpm/1300.0rpm1300.0Nm35.0deg.csv,14953,True,0.011232746765370593,359.9871643487777,0.024074270493812833,0.024102870636443185,0.999876609419891,1,True,positive_measured,-1300.0000589390777,0.9598534091986344,1299.9464975259284,8.231436891816925,35.03178158229118,0.15244263625884344,0.03690096976097039,0.012347743994060387,0.045378465817464575,5.893907768950157e-05,-0.05350247407159259,0.03178158229118111,True,none
speed_1300rpm__torque_1800Nm__temperature_30degC,validation,Fw,data/polished_dataset/forward/30degree/1300rpm/1300.0rpm1800.0Nm30.0deg.csv,14954,True,0.012637040474129743,359.98856447844076,0.024074788929397073,0.024101006074420183,0.9999432710953707,1,True,negative_measured,1299.9998425280914,0.9211178125597034,-1800.2251002086075,8.890967639792207,32.390285542329806,0.15002043477548058,-0.08581273023728689,0.012417133164927291,0.04680344110614349,-0.00015747190855108784,0.22510020860750046,2.3902855423298064,True,none
speed_1300rpm__torque_1800Nm__temperature_30degC,validation,Bw,data/polished_dataset/backward/30degree/1300rpm/1300.0rpm1800.0Nm30.0deg.csv,14953,True,0.019920545938483955,359.9958443393337,0.024074224962902235,0.024110084870446257,0.9998766716259251,1,True,positive_measured,-1300.000147621836,1.191913220342386,1798.7319430933005,9.960788299874773,32.72112418912593,0.14935152686954606,0.051973444615897015,0.01238733338770146,0.04902311082648016,0.00014762183604943857,-1.268056906699485,2.7211241891259306,True,none
speed_1400rpm__torque_0Nm__temperature_25degC,validation,Fw,data/polished_dataset/forward/25degree/1400rpm/1400.0rpm0.0Nm25.0deg.csv,13886,True,0.0208284043605731,359.9948982045876,0.025926360653102165,0.025944633822837203,0.9999486667529491,1,True,near_zero_setpoint,1400.0001979607375,0.6321842068035839,-0.5036190082695962,5.917844609578381,25.457804983436557,0.14878985078205856,-0.021422864775714614,0.012125916418921476,0.038996120497423015,0.00019796073752331722,0.5036190082695962,0.4578049834365565,True,none
speed_1400rpm__torque_0Nm__temperature_25degC,validation,Bw,data/polished_dataset/backward/25degree/1400rpm/1400.0rpm0.0Nm25.0deg.csv,13886,True,0.010950928555448493,359.98504021204934,0.025926028481649155,0.02594490452596574,0.9999485847534645,1,True,near_zero_setpoint,-1400.0000805843792,0.6323334952546998,-0.03015873063124098,5.809181981740511,25.93341639060925,0.1537652464087138,-0.012270311826903706,0.01230874092349033,0.04033365906585562,8.058437924773898e-05,0.03015873063124098,0.9334163906092492,True,none
speed_1400rpm__torque_200Nm__temperature_25degC,validation,Fw,data/polished_dataset/forward/25degree/1400rpm/1400.0rpm200.0Nm25.0deg.csv,13886,True,0.013205508391336355,359.9946789598718,0.025926075048232633,0.025946473909152702,0.9999485373652236,0,True,negative_measured,1399.9999751636387,0.6819116587315132,-199.89102193743665,6.62891520416115,27.70534927264871,0.1505481979435526,-0.03038446523431409,0.012364261952034867,0.04390089462239937,-2.483636126271449e-05,-0.1089780625633523,2.7053492726487107,True,none
speed_1400rpm__torque_200Nm__temperature_25degC,validation,Bw,data/polished_dataset/backward/25degree/1400rpm/1400.0rpm200.0Nm25.0deg.csv,13885,True,0.010961063407495196,359.9665218612347,0.02592620439494908,0.025944869135766168,0.9998765577717422,0,True,positive_measured,-1400.0000020648195,0.6309967670853636,199.81808812208862,5.645920351929011,28.45093266114512,0.15259678110785166,-0.007011795434789818,0.012270104709585132,0.04293759146509087,2.0648194549721666e-06,-0.18191187791137509,3.4509326611451208,True,none
speed_1400rpm__torque_300Nm__temperature_30degC,validation,Fw,data/polished_dataset/forward/30degree/1400rpm/1400.0rpm300.0Nm30.0deg.csv,13885,True,0.03903702004933263,359.9946270272543,0.02592602279065659,0.025945769622687465,0.9998766389089028,0,True,negative_measured,1400.0001284000336,0.6580388209828815,-300.1554484156168,6.077785368210169,31.526772776377385,0.15231836721708772,-0.03271168027122184,0.012322078747133128,0.04318183391368324,0.00012840003364544827,0.15544841561677458,1.5267727763773848,True,none
speed_1400rpm__torque_300Nm__temperature_30degC,validation,Bw,data/polished_dataset/backward/30degree/1400rpm/1400.0rpm300.0Nm30.0deg.csv,13886,True,0.011666191530938556,359.98576625871596,0.0259261919749747,0.025945679384858523,0.9999485351116258,1,True,positive_measured,-1399.999948966345,0.6600411983220605,300.0123418406914,5.650428785821548,32.20779562148927,0.15226203184376463,-0.0013982921276164322,0.01222754263528966,0.041683321407682106,-5.103365492686862e-05,0.012341840691419748,2.207795621489268,True,none
speed_1400rpm__torque_500Nm__temperature_30degC,validation,Fw,data/polished_dataset/forward/30degree/1400rpm/1400.0rpm500.0Nm30.0deg.csv,13886,True,0.02041919570869114,359.99449636373214,0.02592614024052864,0.02594632986591705,0.9999486769658781,1,True,negative_measured,1400.000169763513,0.6796773656366188,-500.00048294957463,5.970789365317791,31.624890537231742,0.15132088820359743,-0.040616821255600837,0.012305735391249762,0.04404008905918766,0.00016976351298580994,0.00048294957463212995,1.6248905372317424,True,none
