condition_id,split,direction,nominal_speed_rpm,nominal_torque_nm,measured_signed_torque_nm,measured_temperature_deg_c,measured_curve_mean_te_deg,measured_curve_peak_to_peak_te_deg,low_torque_condition,direction_torque_sign_pass
speed_1000rpm__torque_1300Nm__temperature_30degC,train,Bw,1000.0,1300.0,1299.9012265681229,32.22447993827161,0.03605213405774342,0.04414636537199951,False,True
speed_1000rpm__torque_1300Nm__temperature_35degC,train,Fw,1000.0,1300.0,-1299.5129613106142,36.11163940329218,-0.06989267213257568,0.04408792903050654,False,True
speed_1000rpm__torque_1300Nm__temperature_35degC,train,Bw,1000.0,1300.0,1300.0657481131616,36.215932613168725,0.03771305907619321,0.04467708369147972,False,True
speed_1000rpm__torque_1400Nm__temperature_25degC,train,Fw,1000.0,1400.0,-1399.7751514116924,27.35432510288066,-0.07170919760493571,0.04529386034542084,False,True
speed_1000rpm__torque_1400Nm__temperature_25degC,train,Bw,1000.0,1400.0,1399.8525900429559,27.70847942386831,0.03709733496606502,0.04362721514657389,False,True
speed_1000rpm__torque_1400Nm__temperature_30degC,train,Fw,1000.0,1400.0,-1399.7031378770562,30.04643981481481,-0.0711998101745553,0.044333054167345884,False,True
speed_1000rpm__torque_1400Nm__temperature_30degC,train,Bw,1000.0,1400.0,1399.8791877971476,30.437743312757206,0.03742973109640235,0.044677592811467805,False,True
speed_1000rpm__torque_1500Nm__temperature_25degC,train,Fw,1000.0,1500.0,-1499.661264890506,24.856943415637858,-0.07674158052630022,0.045199414921749795,False,True
speed_1000rpm__torque_1500Nm__temperature_25degC,train,Bw,1000.0,1500.0,1499.991193020226,25.223690329218105,0.040190120055065975,0.045202712837677676,False,True
speed_1000rpm__torque_1500Nm__temperature_30degC,train,Fw,1000.0,1500.0,-1499.751432822565,30.606974279835388,-0.07582956088865345,0.04571053509965493,False,True
speed_1000rpm__torque_1500Nm__temperature_30degC,train,Bw,1000.0,1500.0,1499.97344268131,30.812328189300406,0.04174445179270176,0.04511884518821538,False,True
speed_1000rpm__torque_1500Nm__temperature_35degC,train,Fw,1000.0,1500.0,-1499.164058225145,36.355492798353914,-0.07659952744806263,0.04483423920074166,False,True
speed_1000rpm__torque_1500Nm__temperature_35degC,train,Bw,1000.0,1500.0,1500.0513272950054,36.43953497942387,0.04577062221124525,0.0455456340891361,False,True
speed_1000rpm__torque_1600Nm__temperature_30degC,train,Fw,1000.0,1600.0,-1599.535164887032,31.00298919753087,-0.07952111630151666,0.04577141462112091,False,True
speed_1000rpm__torque_1600Nm__temperature_30degC,train,Bw,1000.0,1600.0,1600.0398641798658,31.212524691358023,0.0455032338625272,0.04544978341055725,False,True
speed_1000rpm__torque_1600Nm__temperature_35degC,train,Fw,1000.0,1600.0,-1599.2395451897946,36.44389711934156,-0.08045588677040492,0.04564544496453924,False,True
speed_1000rpm__torque_1600Nm__temperature_35degC,train,Bw,1000.0,1600.0,1599.841457900752,36.53752867945882,0.04917775656866022,0.04584056532113798,False,True
speed_1000rpm__torque_1700Nm__temperature_30degC,train,Fw,1000.0,1700.0,-1699.4754946894116,31.415697530864193,-0.08310414312291443,0.04552153146068384,False,True
speed_1000rpm__torque_1700Nm__temperature_30degC,train,Bw,1000.0,1700.0,1699.8337156780426,31.656490740740736,0.049531716876678594,0.045741432241936775,False,True
speed_1000rpm__torque_1700Nm__temperature_35degC,train,Fw,1000.0,1700.0,-1699.1247745698372,34.941772119341564,-0.08329000851164003,0.045703145572286406,False,True
