condition_id,split,direction,model_id,validity_scope,nominal_speed_rpm,nominal_torque_nm,nominal_temperature_deg_c,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,curve_materialization_runtime_microseconds,prediction_memory_bytes
speed_800rpm__torque_100Nm__temperature_35degC,test,Fw,PF_B_RECOVERED_ONNX,valid_recovered_fw,800.0,100.0,35.0,0.0015252219926572585,0.0017016988744071012,0.0006238870685726964,0.0007812462306831161,0.0015117649904008955,0.0019037784513705608,0.00044156978488895933,0.00010046217843640969,0.000147789363188372,0.7051279232210623,50.25017450276307,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Fw,PF_C_PLC_ORDER10,valid_recovered_plc,800.0,100.0,35.0,0.01842831609783529,0.018452400370955788,0.0007537276917685032,0.0009424676378072403,0.01842831609783529,0.0008335459467357503,0.00047970554102002053,9.092725159831963e-05,0.00013858396673830303,1.2744718502490273,166.59998800605536,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Fw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,800.0,100.0,35.0,0.0001584581093844105,0.00019973221663721632,0.0001584581093844105,0.00019973221663721635,3.469446951953614e-18,0.00010561035091252724,0.0002646227616632347,0.00021844473681460058,2.228637798997981e-19,1.6831636393297187e-15,32.3000131174922,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Bw,PF_A_LOCAL_QUADRATIC,valid_common_split,800.0,100.0,35.0,0.0008313977813839553,0.0009947859300639364,0.0005540764385379899,0.0006879339649510477,0.0007185721303528975,0.0001280105117125313,0.00043611730932606154,0.0004218325106971812,8.78746229120793e-05,0.31823623592375766,406.4999520778656,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Bw,PF_A_PAPER_QUADRATIC,valid_common_split,800.0,100.0,35.0,0.0008808044275726179,0.0010600046110649862,0.0006318685451688335,0.0007792713705501638,0.0007185721303528975,0.003232967495176993,0.0004252455346181462,9.29662035308032e-06,0.0001988139988888654,0.8387330683335574,462.6000300049782,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Bw,PF_E_REDUCED_QUADRATIC,valid_common_split,800.0,100.0,35.0,0.000789968612565616,0.0009337054788907996,0.00047641562343938887,0.0005962046752507024,0.0007185721303528975,0.0010496072976173693,0.00041152086759675834,0.00016538604035203075,5.5228492161501224e-05,0.5177395247842659,219.9000446125865,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Bw,PF_B_RECOVERED_ONNX,out_of_domain_bw_stress_only,800.0,100.0,35.0,0.016387291633945103,0.01641401688566556,0.0007599765960582447,0.0009362815959672399,0.0163872916339451,0.0010474446966637352,0.00042623404226266304,0.00010046217843640969,0.00026164312951808635,0.8252132531892727,51.35029929402761,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Bw,PF_C_PLC_ORDER10,valid_recovered_plc,800.0,100.0,35.0,0.0004987633483320612,0.0006243381350336533,0.00048607794275418604,0.0006128927141229583,0.00011899843625986627,0.0017152495612799967,0.00040805772910441245,6.58171519787882e-05,8.91029256259793e-05,0.3863483952555907,175.00005196779966,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Bw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,800.0,100.0,35.0,0.00018743791768053507,0.00023201789077288498,0.00018743791768053507,0.00023201789077288495,8.673617379884035e-19,7.419058695313369e-05,0.00030030798994222144,0.00015154468948335234,5.11984359229266e-19,9.860939225663717e-16,42.99997817724943,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Fw,PF_A_LOCAL_QUADRATIC,valid_common_split,800.0,600.0,25.0,0.000571680520416418,0.0007168073542335243,0.0005406177138432987,0.0006711647980858384,0.000251695444721714,0.002320011486719002,0.0005099275318081394,0.0001403644203098152,6.52973429118945e-05,0.11165869944730557,218.8000362366438,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Fw,PF_A_PAPER_QUADRATIC,valid_common_split,800.0,600.0,25.0,0.0009696147548558707,0.0012188647066655206,0.000947400402570217,0.0011925940534235294,0.000251695444721714,0.0063034125680056785,0.0005241175580870075,9.755094153983401e-06,0.0003517709438614738,1.081253153240522,430.50001841038465,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Fw,PF_E_REDUCED_QUADRATIC,valid_common_split,800.0,600.0,25.0,0.0005904296804868839,0.0007464292280112071,0.0005633172970858232,0.0007027133096332712,0.000251695444721714,0.002315923211139312,0.0005130132547483289,0.00018354020640297744,9.894553828586462e-05,0.3447299844087987,164.39997125416994,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Fw,PF_B_RECOVERED_ONNX,valid_recovered_fw,800.0,600.0,25.0,0.00293406907709691,0.003081155889767386,0.0007693762633069003,0.0009406169612929266,0.0029340690770969097,0.003881587216341853,0.0005181859788818775,8.660462109867303e-05,0.00022951470271833168,0.768198912967782,52.950311477217,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Fw,PF_C_PLC_ORDER10,valid_recovered_plc,800.0,600.0,25.0,1.98577364879647,2.0010111564601876,0.19788040564451087,0.24647244069812566,1.9857736487964697,1.3328003499477836,0.06720136986905459,0.06907360658623207,0.10092921171417778,1.3843129615560437,166.6999887675047,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Fw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,800.0,600.0,25.0,0.00020038620912830798,0.00025004582078517226,0.00020038620912830798,0.00025004582078517226,0.0,0.0006093042122330972,0.0003472857279580271,8.979444299708414e-05,9.802994642889769e-19,5.294761542786988e-16,34.499913454055786,16384
speed_800rpm__torque_600Nm__temperature_25degC,test,Bw,PF_A_LOCAL_QUADRATIC,valid_common_split,800.0,600.0,25.0,0.0005885550306601131,0.0007332091265357751,0.0005521021877259282,0.0006784926296289763,0.0002779269234430351,1.4637374399446845e-05,0.0004749081994611622,0.0006292820716720764,6.375640488612998e-05,0.18252019417705526,218.40003319084644,16384
