filtered_row_index,rpm,deg,tor,fft_y_Fw_filtered_ampl_0,fft_y_Fw_filtered_phase_0,fft_y_Fw_filtered_ampl_1,fft_y_Fw_filtered_phase_1,fft_y_Fw_filtered_ampl_3,fft_y_Fw_filtered_phase_3,fft_y_Fw_filtered_ampl_39,fft_y_Fw_filtered_phase_39,fft_y_Fw_filtered_ampl_40,fft_y_Fw_filtered_phase_40,fft_y_Fw_filtered_ampl_78,fft_y_Fw_filtered_phase_78,fft_y_Fw_filtered_ampl_81,fft_y_Fw_filtered_phase_81,fft_y_Fw_filtered_ampl_156,fft_y_Fw_filtered_phase_156,fft_y_Fw_filtered_ampl_162,fft_y_Fw_filtered_phase_162,fft_y_Fw_filtered_ampl_240,fft_y_Fw_filtered_phase_240
255,1100.0,30.0,0.0,0.026170162699279995,0.0,0.01706553079324967,-0.0035715391064692656,0.0008058158862418521,1.697374511988956,0.0007871792285239601,-1.646915990942681,0.0008840478025495611,0.16133859301472006,0.00023917319732509905,1.1665098982942348,0.0004107364882922494,-0.7737551181406721,0.0014614764821200394,1.5709301930837334,0.00025747538407523934,-2.170480780735856,0.00011102892196489812,2.6170922310490896
256,1100.0,30.0,100.0,0.030092971657537552,0.0,0.017194662077642472,0.0037948959667240363,0.0006421394742724676,1.6477201020452248,0.0007758597329414776,-1.6018714559153737,0.0008785773634214289,-0.04393333385966022,0.00019826749671547075,0.698532261994239,0.00030960530347058646,-1.2757402146444456,0.0005418643633595554,0.8526359245365849,0.00013993516685649476,2.5601999507574056,0.001866222421524071,-2.113270702691826
257,1100.0,30.0,1000.0,0.05633710073034711,0.0,0.017199883783623728,-0.01346614302919697,0.0008039674364248886,1.8349007219689797,0.0011141568463474386,-1.1728683339969326,0.0008336569186370347,0.25222882928196194,0.0009370196662498167,-0.07136296856186967,0.0002874322393094117,-1.6353458778137973,0.00021588817249835286,1.136173151202031,0.00020985038759953174,2.264551901653747,0.0033410580373309613,-2.4668889704159778
258,1100.0,30.0,1100.0,0.05900207595671857,0.0,0.01716789440617847,-0.01462403551419804,0.0008474743664323534,1.8867839843850316,0.0012019270840721177,-1.1310715998049239,0.0008244880535367675,0.24091795851224612,0.0010331960089858267,-0.08902120389382566,0.0002934591290100682,-1.7516852608803974,0.00018439293345947486,1.1580741352131247,0.0002121378163305676,2.2938359132830493,0.003105339003921095,-2.5177395299044765
259,1100.0,30.0,1300.0,0.06545783262730152,0.0,0.01715437667653162,-0.013907026283484733,0.0009123121794650903,1.9246074991156514,0.0013335576091652215,-1.064831700939007,0.000778284317994981,0.18263286635901194,0.001230312990645727,-0.1282441764908671,0.000301496870249436,-1.8947258088473358,0.00014131937456084197,1.2011305749002805,0.00025791211692905103,2.32079412212269,0.0030725341952838677,-2.6076295557463505
260,1100.0,30.0,1400.0,0.06892455273458406,0.0,0.017127931147932672,-0.016980678893809602,0.0009549144666964443,1.9385664021180269,0.0013265126676488045,-1.0463828784925497,0.0007685270688943409,0.16910935063353547,0.0014053929122257811,-0.0279963603947464,0.00033594153907854675,-1.8029729589233285,0.00019439262413183323,0.7838337414016783,0.00031125889168428443,1.9829636609350392,0.003047454081179001,-2.5347264636574893
261,1100.0,30.0,1600.0,0.0762918559654747,0.0,0.017159363425788655,-0.01742771720620825,0.0010243572944714041,1.9656201784842071,0.0015112971549921213,-0.960431979001136,0.0008003912449255034,0.10978998188233698,0.0016047012145698255,-0.07796420184966418,0.0003493176599002549,-1.9660906102951672,0.00015537487098732055,0.46511453318155743,0.0003360237503607758,2.0302886357549688,0.002533561064607708,-2.6572576835310517
262,1100.0,30.0,1800.0,0.08366478487783445,0.0,0.017136140114646134,-0.018136916340209343,0.0010825135342549554,1.9753289971332362,0.0017222894896281719,-0.9717551124334891,0.0007514836515590446,0.14911858293595082,0.0018751426077685182,-0.10575570536248602,0.0003935961770827303,-2.0926680754284757,9.473991297621545e-05,0.06747461847080108,0.00036648267690499436,2.053498079789119,0.0018110086284437697,-2.7336473349217285
263,1100.0,30.0,200.0,0.026895069298308174,0.0,0.01726361052718891,-0.00117976737465848,0.000597414431137181,1.6249466158291317,0.0007556252733398385,-1.5619258414431871,0.0008119423564667197,-0.013963996521666322,0.0002701124613335732,0.2836932160562069,0.00029561523897648877,-1.2487201303500364,0.0004832852896289494,0.8940568521169993,0.0001468461879092745,2.2908763725733507,0.0028702446413228777,-2.2423781867855643
264,1100.0,30.0,500.0,0.04487213809304983,0.0,0.017228695659819833,-0.008305523129177376,0.0006497752513844391,1.6949202855862173,0.0008560064208343813,-1.4029222905701733,0.0008680766710221876,0.16172698800695404,0.0005039762487637627,0.034062092782760546,0.0002795617628973998,-1.320897742092565,0.00033384966135601433,1.0126923486614665,0.00017141457753151385,2.4295494426498805,0.0031916068080257995,-2.3033738916476905
