bootstrap_index,torque_slope_deg_per_nm,shuffled_torque_slope_deg_per_nm
127,3.636897949841461e-05,2.4646591396931153e-07
128,3.6674100554790434e-05,2.4277459837848116e-07
129,3.6557121239117333e-05,1.6103097734039091e-07
130,3.683574695066446e-05,6.46981248243442e-07
131,3.689148993063202e-05,1.2434545464839005e-06
132,3.673787180007626e-05,-2.8533424850029148e-06
133,3.6426784225670046e-05,-1.2972531545326306e-06
134,3.6540976987482423e-05,7.678576521851124e-07
135,3.658826386884359e-05,-9.625326336348681e-07
136,3.639420037926189e-05,-1.2565243962309742e-06
137,3.634645630896657e-05,-1.2846059054709006e-06
138,3.674805732238632e-05,1.3496234602519272e-06
139,3.687999994332991e-05,-2.304130081280334e-06
140,3.653272700873393e-05,1.540690307210556e-06
141,3.668040601299562e-05,5.865436569564611e-07
142,3.661990335860357e-05,-2.2781234603296714e-07
143,3.669844382437157e-05,-1.9951269878042433e-06
144,3.670503327783533e-05,-1.0032906079711643e-06
145,3.660716668375887e-05,2.5667109311083674e-09
146,3.691214591809347e-05,1.3729320192131844e-06
147,3.688418985889111e-05,1.8741517509551979e-06
148,3.66961290302568e-05,-1.1663552366079524e-06
149,3.646474011029226e-05,2.150497564077226e-06
150,3.700985727761545e-05,9.566712778733174e-08
151,3.647350728351443e-05,-1.0119402943482917e-06
152,3.679829774262793e-05,1.4659086558874857e-06
153,3.6561997755876256e-05,2.546286581891974e-07
154,3.6902914077653535e-05,-6.537942526655681e-07
155,3.681522638301518e-05,-1.7284138718409947e-08
156,3.690505308397787e-05,4.895632347950247e-07
157,3.7051944869478315e-05,4.504403890566712e-07
158,3.664525513608034e-05,-5.265609914612829e-07
159,3.665702322208337e-05,2.2030559865667996e-06
160,3.65553787178313e-05,8.126893313711367e-07
161,3.6662421810212046e-05,1.3097455623694468e-06
162,3.641887612601023e-05,-3.506326699255854e-07
163,3.661737144614292e-05,-1.0772351681207039e-07
164,3.6645472653645754e-05,-9.336926627238166e-07
165,3.698006841053358e-05,-3.807179501685739e-07
166,3.678954484394592e-05,5.8035277130724086e-08
167,3.6721559213303115e-05,-3.164445499627348e-06
168,3.6675332231448946e-05,1.5799433221789443e-06
169,3.660500421785533e-05,4.977460115886162e-07
170,3.683996209138338e-05,5.93103018934813e-07
171,3.676457043416692e-05,-2.455366826463564e-07
172,3.688849560053987e-05,-3.4377065896979735e-08
173,3.67721064988555e-05,7.919308391607631e-07
174,3.6650292572369065e-05,9.017358311528695e-07
175,3.683164189252859e-05,-2.7591189393105657e-06
176,3.691818771472918e-05,1.10176685948879e-06
177,3.6642052332264816e-05,6.311675041271458e-07
178,3.648179828611704e-05,-2.9998325359723426e-06
179,3.650371083393237e-05,4.1284163974038403e-07
180,3.666121140497787e-05,9.361298289218637e-07
181,3.650429293782692e-05,-8.696497218747476e-07
182,3.6691578651746214e-05,5.031167528927144e-07
183,3.6488755449275185e-05,-2.3464940674233543e-06
184,3.671509609320886e-05,2.207908986666403e-06
185,3.666146898017573e-05,5.157326352397059e-07
186,3.648386350754947e-05,5.001085886280773e-07
187,3.679982392619332e-05,-1.4620162046990894e-06
188,3.649115247733668e-05,-1.6342879434481918e-06
189,3.6557951029839104e-05,-7.573329004497078e-07
190,3.6650458149456086e-05,2.848031677291447e-06
191,3.654197355500147e-05,8.657557242177695e-07
